"code","name","ipo_date","papan_pencatatan","industry"
"BELI","Global Digital Niaga Tbk.","2022-11-08","Ekonomi Baru","Technology"
"BELL","Trisula Textile Industries Tbk","2017-10-03","Pengembangan","Consumer Cyclicals"
"BESS","Batulicin Nusantara Maritim Tb","2020-03-09","Pengembangan","Energy"
"BEST","Bekasi Fajar Industrial Estate","2012-04-10","Utama","Properties & Real Estate"
"BFIN","BFI Finance  Indonesia Tbk.","1990-05-16","Utama","Financials"
"BGTG","Bank Ganesha Tbk.","2016-05-12","Pengembangan","Financials"
"BHAT","Bhakti Multi Artha Tbk.","2020-04-15","Pengembangan","Financials"
"BHIT","MNC Asia Holding Tbk.","1997-11-24","Pemantauan Khusus","Industrials"
"BIKA","Binakarya Jaya Abadi Tbk.","2015-07-14","Pemantauan Khusus","Properties & Real Estate"
"BIKE","Sepeda Bersama Indonesia Tbk.","2022-03-21","Pengembangan","Consumer Cyclicals"
"BIMA","Primarindo Asia Infrastructure","1994-08-30","Pengembangan","Consumer Cyclicals"
"BINA","Bank Ina Perdana Tbk.","2014-01-16","Utama","Financials"
"BINO","Perma Plasindo Tbk.","2021-11-25","Pengembangan","Industrials"
"BIPI","Astrindo Nusantara Infrastrukt","2010-02-11","Pengembangan","Energy"
"BIPP","Bhuwanatala Indah Permai Tbk.","1995-10-23","Pemantauan Khusus","Properties & Real Estate"
"BIRD","Blue Bird Tbk.","2014-11-05","Utama","Transportation & Logistics"
"BISI","BISI International Tbk.","2007-05-28","Utama","Consumer Non-Cyclicals"
"BJBR","Bank Pembangunan Daerah Jawa B","2010-07-08","Utama","Financials"
"BJTM","Bank Pembangunan Daerah Jawa T","2012-07-12","Utama","Financials"
"BKDP","Bukit Darmo Property Tbk.","2007-06-15","Pemantauan Khusus","Properties & Real Estate"
"BKSL","Sentul City Tbk.","1997-07-28","Pemantauan Khusus","Properties & Real Estate"
"BKSW","Bank QNB Indonesia Tbk.","2002-11-21","Pengembangan","Financials"
"BLES","Superior Prima Sukses Tbk.","2024-07-08","Utama","Basic Materials"
"BLTA","Berlian Laju Tanker Tbk","1990-03-26","Pemantauan Khusus","Transportation & Logistics"
"BLTZ","Graha Layar Prima Tbk.","2014-04-10","Pemantauan Khusus","Consumer Cyclicals"
"BLUE","Berkah Prima Perkasa Tbk.","2019-07-08","Pengembangan","Industrials"
"BMAS","Bank Maspion Indonesia Tbk.","2013-07-11","Pemantauan Khusus","Financials"
"BMBL","Lavender Bina Cendikia Tbk.","2023-01-11","Akselerasi","Consumer Cyclicals"
"BMHS","Bundamedik Tbk.","2021-07-06","Utama","Healthcare"
"BMRI","Bank Mandiri (Persero) Tbk.","2003-07-14","Utama","Financials"
"BMSR","Bintang Mitra Semestaraya Tbk","1999-12-29","Pengembangan","Basic Materials"
"BMTR","Global Mediacom Tbk.","1995-07-17","Utama","Consumer Cyclicals"
"BNBA","Bank Bumi Arta Tbk.","2006-06-01","Pengembangan","Financials"
"BNBR","Bakrie & Brothers Tbk","1989-08-28","Pemantauan Khusus","Industrials"
"BNGA","Bank CIMB Niaga Tbk.","1989-11-29","Utama","Financials"
"BNII","Bank Maybank Indonesia Tbk.","1989-11-21","Utama","Financials"
"BNLI","Bank Permata Tbk.","1990-01-15","Pengembangan","Financials"
"BOAT","Newport Marine Services Tbk.","2024-11-12","Pengembangan","Energy"
"BOBA","Formosa Ingredient Factory Tbk","2021-11-01","Pengembangan","Consumer Non-Cyclicals"
"BOGA","Bintang Oto Global Tbk.","2016-12-19","Pengembangan","Consumer Cyclicals"
"BOLA","Bali Bintang Sejahtera Tbk.","2019-06-17","Utama","Consumer Cyclicals"
"BOLT","Garuda Metalindo Tbk.","2015-07-07","Pengembangan","Consumer Cyclicals"
"BOSS","Borneo Olah Sarana Sukses Tbk.","2018-02-15","Pemantauan Khusus","Energy"
"BPFI","Woori Finance Indonesia Tbk.","2009-06-01","Pengembangan","Financials"
"BPII","Batavia Prosperindo Internasio","2014-07-08","Pengembangan","Financials"
"BPTR","Batavia Prosperindo Trans Tbk.","2018-07-09","Pengembangan","Transportation & Logistics"
"BRPT","Barito Pacific Tbk.","1993-10-01","Utama","Basic Materials"
"BRAM","Indo Kordsa Tbk.","1990-09-05","Pengembangan","Consumer Cyclicals"
"BREN","Barito Renewables Energy Tbk.","2023-10-09","Utama","Infrastructure"
"BRIS","Bank Syariah Indonesia Tbk.","2018-05-09","Utama","Financials"
